esn,country,localizedDeviceDescription,deviceDescription,ip,regionCodeDisplayName,ts
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.77,Unknown,2019-10-03 17:16:36.509
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.193.64,Unknown,2019-10-03 15:45:29.311
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.232,Unknown,2019-10-02 16:46:44.496
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.177,Unknown,2019-10-01 16:17:44.449
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.177,Unknown,2019-09-30 16:29:26.339
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.141,Unknown,2019-09-26 17:38:01.155
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,98.152.240.68,Arizona,2019-09-23 11:23:39.162
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,98.152.240.68,Arizona,2019-09-23 11:22:23.772
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,US,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,98.152.240.68,Arizona,2019-09-23 11:22:16.991
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.141,Unknown,2019-09-22 09:41:06.992
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.146,Unknown,2019-09-21 18:12:22.233
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,102.132.140.145,Unknown,2019-09-21 05:21:48.046
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.146,Unknown,2019-09-14 12:21:53.619
GOOGEUR001-M10E5GKJY1PUPPS=8WRE1,ZA,Google Chromecast streaming stick,Google Chromecast streaming stick,102.132.140.145,Unknown,2019-09-12 14:23:34.350
NFPS4-002-P0PMPPRM5MTVMF33NHFYU9CQ6W,ZA,Sony PS4 Pro,Sony PS4 Pro,102.132.140.145,Unknown,2019-09-11 21:44:16.532
NFCDCH-02-F6QN1YLYAXU04VDFANLYN3N1829NLM,ZA,Chrome PC (Cadmium),Chrome PC (Cadmium),169.0.99.172,Unknown,2019-09-09 15:23:08.423
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,102.132.140.145,Unknown,2019-09-08 04:30:02.568
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.140.145,Unknown,2019-09-07 19:02:19.003
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,155.93.207.249,Unknown,2019-09-07 14:42:04.352
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,102.132.143.218,Unknown,2019-09-07 14:40:45.607
HISETVK32000000000000000000000000002141706,ZA,Hisense MTK5657 on UHD platform Smart TV,Hisense MTK5657 on UHD platform Smart TV,102.132.141.92,Unknown,2019-09-07 13:32:52.000
NFPS4-001-AUFRGQLLKHZEG70W5Y3M0N0YNR,ZA,Sony PS4,Sony PS4,102.132.141.92,Unknown,2019-09-07 12:26:19.357
NFANDROID1-PRV-P-GOOGLPIXEL=3=XL-8587-029CC725F605355F7D210C869A3664B4C341AD67F56FADF58C4066E46170B36EE,ZA,DefaultWidevineAndroidPhone,DefaultWidevineAndroidPhone,102.132.141.92,Unknown,2019-09-07 12:24:45.494
