Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Manuel,tvui,profilesGate,,,2020-09-30 19:13:59
Manuel,tvui,movieDetails,,,2020-09-30 18:43:58
Manuel,tvui,browseTitles,,,2020-09-30 18:43:58
Manuel,tvui,movieDetails,,,2020-09-30 18:40:41
Manuel,tvui,playback,,,2020-09-30 18:40:41
Manuel,tvui,postPlay,,,2020-09-30 18:40:35
Manuel,tvui,playback,,,2020-09-30 18:40:35
Manuel,tvui,playback,,,2020-09-30 18:40:30
Manuel,tvui,postPlay,,,2020-09-30 18:40:30
Manuel,tvui,movieDetails,,,2020-09-30 18:19:48
Manuel,tvui,playback,,,2020-09-30 18:19:48
Manuel,tvui,browseTitles,,,2020-09-30 18:19:46
Manuel,tvui,movieDetails,,,2020-09-30 18:19:46
Manuel,tvui,profilesGate,,,2020-09-30 18:19:32
Manuel,tvui,browseTitles,,,2020-09-30 18:19:32
Manuel,tvui,profilesGate,,,2020-09-30 14:58:55
Manuel,tvui,postPlay,,,2020-09-30 12:25:30
Manuel,tvui,playback,,,2020-09-30 12:25:30
Manuel,tvui,playback,,,2020-09-30 12:25:24
Manuel,tvui,postPlay,,,2020-09-30 12:25:24
Manuel,tvui,movieDetails,,,2020-09-30 11:43:27
Manuel,tvui,playback,,,2020-09-30 11:43:27
Manuel,tvui,browseTitles,,,2020-09-30 11:43:23
Manuel,tvui,movieDetails,,,2020-09-30 11:43:23
Manuel,tvui,profilesGate,,,2020-09-30 11:43:16
Manuel,tvui,browseTitles,,,2020-09-30 11:43:16
Manuel,tvui,movieDetails,,,2020-09-29 21:16:40
Manuel,tvui,browseTitles,,,2020-09-29 21:16:40
Manuel,tvui,playback,,,2020-09-29 21:16:38
Manuel,tvui,movieDetails,,,2020-09-29 21:16:38
Manuel,tvui,postPlay,,,2020-09-29 21:09:47
Manuel,tvui,playback,,,2020-09-29 21:09:47
Manuel,tvui,playback,,,2020-09-29 21:09:42
Manuel,tvui,postPlay,,,2020-09-29 21:09:42
Manuel,tvui,movieDetails,,,2020-09-29 20:55:57
Manuel,tvui,playback,,,2020-09-29 20:55:57
Manuel,tvui,browseTitles,,,2020-09-29 20:55:54
Manuel,tvui,movieDetails,,,2020-09-29 20:55:54
Manuel,tvui,profilesGate,,,2020-09-29 20:55:51
Manuel,tvui,browseTitles,,,2020-09-29 20:55:51
Manuel,tvui,profilesGate,,,2020-09-29 14:42:50
Manuel,www,postPlay,/browse,/watch/80186863?trackId=14170286&tctx=2%2C0%2Cfb19ee20-5b81-4074-8b57-bc655ff44f69-360655474%2C6061526e-9a67-48bd-84b3-a7d2f4db3d1e_16218949X3XX1601379169108%2C6061526e-9a67-48bd-84b3-a7d2f4db3d1e_ROOT%2C,2020-09-29 11:42:04
Manuel,www,playback,/watch/80186863?trackId=14170286&tctx=2%2C0%2Cfb19ee20-5b81-4074-8b57-bc655ff44f69-360655474%2C6061526e-9a67-48bd-84b3-a7d2f4db3d1e_16218949X3XX1601379169108%2C6061526e-9a67-48bd-84b3-a7d2f4db3d1e_ROOT%2C,/watch/81079216?trackId=155573560,2020-09-29 11:42:04
Manuel,www,browseTitles,https://www.netflix.com/za/login?nextpage=https%3A%2F%2Fwww.netflix.com%2Fbrowse,/browse,2020-09-29 11:32:59
Manuel,www,playback,/browse,/watch/80186863?trackId=14170286&tctx=2%2C0%2Cfb19ee20-5b81-4074-8b57-bc655ff44f69-360655474%2C6061526e-9a67-48bd-84b3-a7d2f4db3d1e_16218949X3XX1601379169108%2C6061526e-9a67-48bd-84b3-a7d2f4db3d1e_ROOT%2C,2020-09-29 11:32:59
Manuel,www,profilesGate,https://www.netflix.com/za/login?nextpage=https%3A%2F%2Fwww.netflix.com%2Fbrowse,/browse,2020-09-29 11:32:55
Manuel,www,browseTitles,https://www.netflix.com/za/login?nextpage=https%3A%2F%2Fwww.netflix.com%2Fbrowse,/browse,2020-09-29 11:32:55
Manuel,tvui,playback,,,2020-09-29 11:07:05
Manuel,tvui,movieDetails,,,2020-09-29 11:07:05
Manuel,tvui,browseTitles,,,2020-09-29 11:07:03
Manuel,tvui,movieDetails,,,2020-09-29 11:07:03
Manuel,tvui,profilesGate,,,2020-09-29 11:06:54
Manuel,tvui,browseTitles,,,2020-09-29 11:06:54
Manuel,android,playback,,,2020-09-28 21:28:32
Manuel,android,browseTitles,,,2020-09-28 21:28:31
Manuel,android,profilesGate,,,2020-09-28 21:28:27
Manuel,android,browseTitles,,,2020-09-28 21:28:27
Manuel,tvui,playback,,,2020-09-28 21:26:52
Manuel,tvui,movieDetails,,,2020-09-28 21:26:52
Manuel,tvui,postPlay,,,2020-09-28 21:26:29
